date,best_bid,best_ask,total_bid_depth,total_ask_depth,volume_by_product
2020-03-23T11:08:00.483, 653310.0, 653331.0, 7000.07504798, 6512.62536778, 196788.86889673
2020-03-23T11:09:00.397, 651544.0, 651555.0, 6948.05150524, 6545.44497671, 196829.83700254
2020-03-23T11:09:58.803, 652871.0, 652994.0, 6975.05194714, 6516.22215046, 196939.62019012
2020-03-23T11:10:58.61, 651382.0, 651423.0, 6964.48135816, 6502.52569875, 197080.3892207
2020-03-23T11:11:59.153, 651718.0, 651902.0, 6990.96472651, 6545.533891, 197132.88331154
2020-03-23T11:13:00.553, 651936.0, 651984.0, 6972.92183971, 6544.62963331, 197199.74115228
2020-03-23T11:14:00.62, 653187.0, 653198.0, 7001.22966871, 6513.45350876, 197214.35824236
2020-03-23T11:15:00.07, 651297.0, 651315.0, 6944.05158649, 6546.01041164, 197287.63802987
2020-03-23T11:15:58.817, 651816.0, 651867.0, 6987.17486397, 6492.51399728, 197451.61049434
2020-03-23T11:16:59.72, 653108.0, 653270.0, 6973.78046944, 6490.86123665, 197466.12366755
2020-03-23T11:17:59.983, 653281.0, 653388.0, 6972.68534449, 6481.95882008, 197502.69446929
2020-03-23T11:19:00.003, 652053.0, 652105.0, 6963.3639165, 6489.49637522, 197475.26628639
2020-03-23T11:19:59.287, 650001.0, 650050.0, 6998.550079, 6518.94566702, 197481.99604656
2020-03-23T11:20:59.89, 650255.0, 650258.0, 6193.37341124, 6533.11729119, 197489.01785239
2020-03-23T11:21:59.907, 650520.0, 650589.0, 6973.94960306, 6506.84098646, 197534.55410151
2020-03-23T11:22:59.643, 649889.0, 649919.0, 6972.81915478, 6513.77224599, 197593.86650217
2020-03-23T11:24:00.037, 650526.0, 650663.0, 7014.6402316, 6498.06707638, 197639.40733561
2020-03-23T11:25:00, 649590.0, 649702.0, 7012.16383148, 6543.0293441, 197720.75482041
2020-03-23T11:26:00.84, 650878.0, 650899.0, 7010.94123362, 6503.87182861, 197713.96425578
2020-03-23T11:26:59.97, 651156.0, 651218.0, 7013.86322329, 6516.33273618, 197719.591625
2020-03-23T11:28:00.067, 651917.0, 651976.0, 7016.91343931, 6500.73276671, 197700.01347929
2020-03-23T11:28:59.807, 650694.0, 650846.0, 6997.41130312, 6518.79735367, 197626.05002374
2020-03-23T11:30:00.13, 650171.0, 650241.0, 7024.47034034, 6532.90574532, 197595.01581822
2020-03-23T11:31:00.613, 648900.0, 648918.0, 6966.57946744, 6484.40960618, 197614.05713062
2020-03-23T11:32:00.64, 648954.0, 649000.0, 6976.23474816, 6545.10205294, 197682.78072982
2020-03-23T11:32:59.907, 649385.0, 649440.0, 6980.28063026, 6506.69383618, 197743.00454983
2020-03-23T11:33:59.307, 647325.0, 647426.0, 6969.49096613, 5626.98782744, 197883.71440681
2020-03-23T11:35:00.457, 647638.0, 647650.0, 6165.3227179, 5660.58765846, 197774.99461712
2020-03-23T11:36:00, 647607.0, 647787.0, 7067.32433817, 5644.33260047, 197621.80575282
2020-03-23T11:36:59.59, 648192.0, 648350.0, 7082.93237432, 6423.4933413, 197348.76329418
2020-03-23T11:38:01.08, 647928.0, 647991.0, 7061.44598711, 6437.30553213, 197325.9418438
2020-03-23T11:38:59.95, 647359.0, 647469.0, 7079.66404839, 6430.06855361, 197254.08799968
2020-03-23T11:40:00.257, 647785.0, 647874.0, 7091.42434422, 6435.00065982, 197191.15315211
2020-03-23T11:41:00.25, 648622.0, 648714.0, 7091.25565191, 6341.30956055, 197176.16603088
